unit_name,faction,Unit Type,health,save,ward,keywords,weapon_name,weapon_type,attacks,hit,wound,rend,damage,range,ability,Points,Unit Size,move,control,Loadout,Weapon Models,Bought With
Beastlord,Beasts of Chaos,Hero,6,4,,"HERO,BEASTS OF CHAOS,BRAYHERD,INFANTRY,CHAOS",Paired Man-ripper Axes,melee,5,3,3,1,2,,"Anti-**^^Hero^^** (+1 Rend), Crit (2 Hits)",150,1,6,2,Default,1,
Beasts of Chaos Chaos Spawn,Beasts of Chaos,Beast,5,5,,"BEASTS OF CHAOS,CHAOS,BEAST",Freakish Mutations,melee,6,5,4,0,1,,"Crit (2 Hits), Companion",70,1,2D6,1,Default,1,
Bestigors,Beasts of Chaos,Infantry,2,4,,"CHAOS,INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),BEASTS OF CHAOS,BRAYHERD",Despoiler Axe,melee,3,4,3,1,1,,Crit (2 Hits),220,10,6,1,Default,10,
Bullgors,Beasts of Chaos,Infantry,4,5,,"CHAOS,INFANTRY,CHAMPION,BEASTS OF CHAOS,WARHERD,MUSICIAN (1/3),STANDARD BEARER (1/3)",Man-splitter Axes,melee,4,4,2,1,2,,-,170,3,6,1,Default,3,
Bullgors,Beasts of Chaos,Infantry,4,5,,"CHAOS,INFANTRY,CHAMPION,BEASTS OF CHAOS,WARHERD,MUSICIAN (1/3),STANDARD BEARER (1/3)",Iron-capped Horns,melee,2,5,3,0,2,,Charge (+1 Damage),170,3,6,1,Default,3,
Centigors,Beasts of Chaos,Cavalry,2,5,,"CHAOS,CHAMPION,BEASTS OF CHAOS,BRAYHERD,STANDARD BEARER (1/5),MUSICIAN (1/5),CAVALRY",Gutpiercer Spear,ranged,1,4,3,1,D3,8,-,170,5,10,1,Default,5,
Centigors,Beasts of Chaos,Cavalry,2,5,,"CHAOS,CHAMPION,BEASTS OF CHAOS,BRAYHERD,STANDARD BEARER (1/5),MUSICIAN (1/5),CAVALRY",Gutpiercer Spear,melee,3,4,3,1,1,,"Anti-**^^Cavalry^^** (+1 Rend), Charge (+1 Damage)",170,5,10,1,Default,5,
Centigors,Beasts of Chaos,Cavalry,2,5,,"CHAOS,CHAMPION,BEASTS OF CHAOS,BRAYHERD,STANDARD BEARER (1/5),MUSICIAN (1/5),CAVALRY",Clawed Forelimbs,melee,2,5,3,0,1,,-,170,5,10,1,Default,5,
Chaos Gargant,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",Throwin’ Rocks,ranged,1,5,2,2,2,12,-,140,1,8,5,Default,1,
Chaos Gargant,Beasts of Chaos,Monster,12,5,,"BEASTS OF CHAOS,CHAOS,MONSTER",’Eadbutt,melee,1,4,2,2,4,,-,140,1,8,5,Default,1,
